Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address
1891461,"December 31, 2020",Indiana,Indianapolis,8215 Center Run Road,1,3,0,0,0,,"39.905625, -86.057767","https://www.google.com/maps?q=39.905624819447,-86.057767426243",39.905624819447,-86.057767426243,Match,"8215 CENTER RUN DR, INDIANAPOLIS, IN, 46250"
1890946,"December 31, 2020",Oregon,Happy Valley,9200 block of SE Idleman Rd,0,4,0,0,0,,"45.450502, -122.568703","https://www.google.com/maps?q=45.45050222914,-122.56870298608",45.45050222914,-122.56870298608,Match,"9200 SE IDLEMAN RD, HAPPY VALLEY, OR, 97086"
1886913,"December 26, 2020",Florida,Tampa,N 20th St and E 7th Ave,2,2,0,0,1,,"27.960250, -82.436748","https://www.google.com/maps?q=27.960249824413,-82.436747604091",27.960249824413,-82.436747604091,Match,"N 20TH ST & E 7TH AVE, TAMPA, FL, 33605"
1886974,"December 26, 2020",Illinois,Rockford,4007 E State St,3,3,0,0,1,,"42.277759, -89.144493","https://www.google.com/maps?q=42.277758878714,-89.144493328023",42.277758878714,-89.144493328023,Match,"4007 W STATE ST, ROCKFORD, IL, 61102"
1887059,"December 26, 2020",Massachusetts,Lynn,Washington St and Quincy Ter,1,5,0,0,1,,"42.467238, -70.952512","https://www.google.com/maps?q=42.46723830289,-70.952511938004",42.46723830289,-70.952511938004,Match,"WASHINGTON ST & QUINCY TER, LYNN, MA, 01902"
1886849,"December 26, 2020",Florida,Miami,NW 61st St and NW 13th Ave,1,3,0,0,0,,"25.831174, -80.218635","https://www.google.com/maps?q=25.831174299636,-80.218635310524",25.831174299636,-80.218635310524,Match,"NW 61ST ST & NW 13TH AVE, MIAMI, FL, 33142"
1886721,"December 25, 2020",Arkansas,Atkins,5180 Pine Ridge Rd,4,0,1,0,0,,"35.197441, -93.000765","https://www.google.com/maps?q=35.197440793393,-93.000765222303",35.197440793393,-93.000765222303,Match,"5180 PINE RIDGE RD, ATKINS, AR, 72823"
1886372,"December 25, 2020",Florida,Boynton Beach,Martin Luther King Jr Blvd and N Seacrest Blvd,1,4,0,0,1,,"26.536108, -80.064308","https://www.google.com/maps?q=26.536108118375,-80.064307836668",26.536108118375,-80.064307836668,Match,"MARTIN LUTHER KING JR BLVD & N SEACREST BLVD, BOYNTON BEACH, FL, 33435"
1886141,"December 24, 2020",Florida,Lakeland,1500 block of Amos Ave,1,3,0,0,1,,1500 block of Amos Ave,,,,No_Match,
1885251,"December 22, 2020",Mississippi,Meridian,Jeffrey Acres Rd,4,0,1,0,0,,Jeffrey Acres Rd,,,,No_Match,
1882214,"December 20, 2020",Connecticut,Bridgeport,456 Connecticut Ave,2,2,0,0,0,,"41.179126, -73.168591","https://www.google.com/maps?q=41.179126380769,-73.168590802578",41.179126380769,-73.168590802578,Match,"456 CONNECTICUT AVE, BRIDGEPORT, CT, 06607"
1881213,"December 19, 2020",Illinois,Chicago,8936 S Cottage Grove Ave,0,6,0,0,0,,"41.731963, -87.604785","https://www.google.com/maps?q=41.731962974203,-87.60478548463",41.731962974203,-87.60478548463,Match,"8936 S COTTAGE GROVE AVE, CHICAGO, IL, 60619"
1876727,"December 13, 2020",West Virginia,Elkview,1384 Cemetery Hill Dr,4,0,0,0,1,,"38.433524, -81.483139","https://www.google.com/maps?q=38.433524136745,-81.483139076646",38.433524136745,-81.483139076646,Match,"1384 CEMETERY HILL DR, ELKVIEW, WV, 25071"
1877043,"December 12, 2020",California,San Bernardino,900 block of N Sierra Way,1,3,0,0,0,,"34.115875, -117.285240","https://www.google.com/maps?q=34.115875378337,-117.285240176172",34.115875378337,-117.285240176172,Match,"900 N SIERRA WAY, SAN BERNARDINO, CA, 92410"
1876231,"December 12, 2020",New York,Copiague,2336 Great Neck Rd,2,2,0,0,1,,"40.685146, -73.401327","https://www.google.com/maps?q=40.68514604379,-73.401327345762",40.68514604379,-73.401327345762,Match,"2336 GREAT NECK RD, COPIAGUE, NY, 11726"
1876039,"December 12, 2020",New York,Brooklyn,574 Warren St,0,4,0,0,0,,574 Warren St,,,,Tie,
1876552,"December 12, 2020",Maryland,Hyattsville (Landover),8600 block of Old Ardmore Rd,2,2,0,0,0,,"38.939366, -76.860186","https://www.google.com/maps?q=38.93936563488,-76.860185951496",38.93936563488,-76.860185951496,Match,"8600 OLD ARDMORE RD, HYATTSVILLE, MD, 20785"
1877628,"December 10, 2020",Georgia,Tifton,700 block of 17 1/2 St,0,4,0,0,0,,"31.442562, -83.522844","https://www.google.com/maps?q=31.442561746854,-83.522844315363",31.442561746854,-83.522844315363,Match,"700 17 1/2 ST, TIFTON, GA, 31794"
1877122,"December 10, 2020",Mississippi,Jackson,1805 Hospital Dr,0,5,0,0,0,,"32.282957, -90.253811","https://www.google.com/maps?q=32.282957070926,-90.253810998208",32.282957070926,-90.253810998208,Match,"1805 HOSPITAL DR, JACKSON, MS, 39204"
1908063,"December 8, 2020",West Virginia,Williamsburg,611 Flynns Creek Rd,5,0,1,0,0,,611 Flynns Creek Rd,,,,No_Match,
1870827,"December 6, 2020",Texas,Venus,6100 N FM 157,0,6,0,0,0,,"32.518177, -97.118587","https://www.google.com/maps?q=32.518176652429,-97.118587375988",32.518176652429,-97.118587375988,Match,"6100 FM 157, VENUS, TX, 76084"
1871627,"December 5, 2020",California,Hayward,25000 block of Eldridge Ave,1,3,0,0,0,,25000 block of Eldridge Ave,,,,No_Match,
1870840,"December 5, 2020",North Carolina,Autryville,10101 Gip Rd,0,6,0,0,0,,10101 Gip Rd,,,,No_Match,
1869748,"December 4, 2020",Illinois,Chicago,4400 block of W Adams St,0,4,0,0,0,,"41.877903, -87.736717","https://www.google.com/maps?q=41.877903270517,-87.736716719815",41.877903270517,-87.736716719815,Match,"4400 W ADAMS ST, CHICAGO, IL, 60624"
1867006,"December 1, 2020",Pennsylvania,Morrisville,1 Makefield Rd,1,3,0,0,0,,"40.195629, -74.817898","https://www.google.com/maps?q=40.195629342967,-74.817897838384",40.195629342967,-74.817897838384,Match,"1 MAKEFIELD RD, MORRISVILLE, PA, 19067"
1866100,"November 30, 2020",Alaska,Palmer,335 N Valley Way,4,0,0,0,1,,"61.609601, -149.108458","https://www.google.com/maps?q=61.609601493644,-149.108458376254",61.609601493644,-149.108458376254,Match,"335 N VALLEY WAY, PALMER, AK, 99645"
1864683,"November 29, 2020",Mississippi,Grenada,23291 MS-8,0,11,0,0,0,,23291 MS-8,,,,No_Match,
1865110,"November 29, 2020",Tennessee,Memphis,3492 W Metropolitan Cir,2,2,0,1,3,,"35.053292, -89.940508","https://www.google.com/maps?q=35.053291608038,-89.940508321576",35.053291608038,-89.940508321576,Match,"3492 W METROPOLITAN CIR, MEMPHIS, TN, 38118"
1863726,"November 28, 2020",South Carolina,Aiken,1695 Richland Ave E,1,10,0,0,5,,"33.553004, -81.696780","https://www.google.com/maps?q=33.553004114175,-81.696779571629",33.553004114175,-81.696779571629,Match,"1695 RICHLAND AVE E, AIKEN, SC, 29801"
1864205,"November 28, 2020",South Carolina,Conway,3800 block of Golden Key Rd,0,5,0,0,3,,"33.926595, -79.035749","https://www.google.com/maps?q=33.926594510669,-79.035748819786",33.926594510669,-79.035748819786,Match,"3800 GOLDEN KEY RD, CONWAY, SC, 29526"
1864177,"November 28, 2020",Louisiana,New Orleans,7001 Lawrence Rd,0,4,0,0,0,,7001 Lawrence Rd,,,,No_Match,
1862947,"November 27, 2020",Georgia,Macon,425 Cherry St,1,5,0,0,2,,"32.834925, -83.626179","https://www.google.com/maps?q=32.834924938939,-83.626179223754",32.834924938939,-83.626179223754,Match,"425 CHERRY ST, MACON, GA, 31201"
1863099,"November 27, 2020",Ohio,Toledo,3257 Stickney Ave,0,6,0,0,0,,"41.682972, -83.526793","https://www.google.com/maps?q=41.682971840508,-83.526792571144",41.682971840508,-83.526792571144,Match,"3257 STICKNEY AVE, TOLEDO, OH, 43608"
1862603,"November 26, 2020",Nevada,Henderson,870 E Lake Mead Pkwy,1,4,0,1,3,,"36.055855, -114.967230","https://www.google.com/maps?q=36.055854965895,-114.967229929194",36.055854965895,-114.967229929194,Match,"870 E LAKE MEAD PKWY, HENDERSON, NV, 89015"
1859390,"November 22, 2020",New York,Brooklyn,15 Albany Ave,1,6,0,0,2,,"40.680389, -73.938354","https://www.google.com/maps?q=40.68038872522,-73.938353977707",40.68038872522,-73.938353977707,Match,"15 ALBANY AVE, BROOKLYN, NY, 11216"
1859110,"November 22, 2020",New Jersey,Trenton,Stuyvesant Ave and Hoffman Ave,0,4,0,0,0,,"40.235023, -74.781183","https://www.google.com/maps?q=40.235022865072,-74.781182833198",40.235022865072,-74.781182833198,Match,"STUYVESANT AVE & HOFFMAN AVE, TRENTON, NJ, 08618"
1858455,"November 22, 2020",Illinois,Chicago,700 block of E 101st St,1,3,0,0,0,,"41.710990, -87.605641","https://www.google.com/maps?q=41.710989935365,-87.605641092008",41.710989935365,-87.605641092008,Match,"700 E 101ST ST, CHICAGO, IL, 60628"
1859186,"November 22, 2020",Louisiana,New Orleans,9232 Chef Menteur Hwy,1,3,0,0,0,,"30.015196, -89.981759","https://www.google.com/maps?q=30.015195658842,-89.981759322366",30.015195658842,-89.981759322366,Match,"9232 CHEF MENTEUR HWY, NEW ORLEANS, LA, 70127"
1857439,"November 21, 2020",Illinois,Chicago,W 79th St and S Justine St,0,6,0,0,0,,"41.750371, -87.662226","https://www.google.com/maps?q=41.750371170114,-87.662226253311",41.750371170114,-87.662226253311,Match,"W 79TH ST & S JUSTINE ST, CHICAGO, IL, 60620"
1857947,"November 21, 2020",Arizona,Phoenix,35th Ave and Earll Dr,1,4,0,0,0,,"33.484063, -112.134337","https://www.google.com/maps?q=33.484062881228,-112.13433696689",33.484062881228,-112.13433696689,Match,"N 35TH AVE & W EARLL DR, PHOENIX, AZ, 85017"
1858965,"November 21, 2020",Nebraska,Bellevue,1307 Cornhusker Rd,2,2,0,0,1,,"41.158294, -95.932980","https://www.google.com/maps?q=41.158294359812,-95.932979963239",41.158294359812,-95.932979963239,Match,"1307 CORNHUSKER RD, BELLEVUE, NE, 68123"
1857040,"November 20, 2020",Wisconsin,Milwaukee (Wauwatosa),2500 N Mayfair Rd,0,8,0,0,1,,"43.063651, -88.047655","https://www.google.com/maps?q=43.063651118639,-88.047655016556",43.063651118639,-88.047655016556,Match,"2500 N MAYFAIR RD, MILWAUKEE, WI, 53226"
1856417,"November 19, 2020",Florida,Haines City,422 N 15th St,1,3,0,0,0,,"28.113121, -81.619631","https://www.google.com/maps?q=28.113121147255,-81.619630796017",28.113121147255,-81.619630796017,Match,"422 N 15TH ST, HAINES CITY, FL, 33844"
1855276,"November 18, 2020",Texas,Houston,11614 Manor Park Dr,2,2,1,0,0,,"29.748199, -95.582801","https://www.google.com/maps?q=29.748198728558,-95.582801090182",29.748198728558,-95.582801090182,Match,"11614 MANOR PARK DR, HOUSTON, TX, 77077"
1856338,"November 18, 2020",South Carolina,Florence,500 block of Gaillard St,0,4,0,0,0,,500 block of Gaillard St,,,,No_Match,
1854207,"November 17, 2020",Tennessee,Jackson,Honey Bear Cove,0,4,0,0,0,,Honey Bear Cove,,,,No_Match,
1854149,"November 16, 2020",Florida,Miami,200 block of S Biscayne River Dr,0,4,0,0,0,,"25.915601, -80.206768","https://www.google.com/maps?q=25.915601417506,-80.20676776627",25.915601417506,-80.20676776627,Match,"200 S BISCAYNE RIVER DR, MIAMI, FL, 33169"
1853615,"November 16, 2020",Illinois,Chicago,700 block of S Pulaski Rd,0,4,0,0,0,,"41.872360, -87.725474","https://www.google.com/maps?q=41.872360448392,-87.725474167455",41.872360448392,-87.725474167455,Match,"700 S PULASKI RD, CHICAGO, IL, 60624"
1854076,"November 16, 2020",Illinois,Chicago,2700 block of S State St,0,4,0,0,0,,"41.844263, -87.627007","https://www.google.com/maps?q=41.844262950129,-87.627007018562",41.844262950129,-87.627007018562,Match,"2700 S STATE ST, CHICAGO, IL, 60616"
1852831,"November 15, 2020",Louisiana,Shreveport,300 block of Douglas St,0,5,0,0,0,,"32.511822, -93.755157","https://www.google.com/maps?q=32.511821527906,-93.75515651478",32.511821527906,-93.75515651478,Match,"300 DOUGLAS ST, SHREVEPORT, LA, 71101"
1853089,"November 15, 2020",Georgia,Riverdale,500 block of Museum Cir,2,2,0,0,2,,500 block of Museum Cir,,,,No_Match,
1852604,"November 14, 2020",South Carolina,Sumter,1008 Marilyn Ave,3,1,0,0,1,,"33.947157, -80.346991","https://www.google.com/maps?q=33.947156751405,-80.346990838946",33.947156751405,-80.346990838946,Match,"1008 MARILYN AVE, SUMTER, SC, 29153"
1852853,"November 14, 2020",Missouri,Fulton,1915 N Bluff St,0,4,0,0,0,,"38.866634, -91.943888","https://www.google.com/maps?q=38.866634192599,-91.94388798376",38.866634192599,-91.94388798376,Match,"1915 N BLUFF ST, FULTON, MO, 65251"
1852363,"November 14, 2020",California,Corona,La Sierra Ave and Tin Mine Rd,2,3,0,0,0,,La Sierra Ave and Tin Mine Rd,,,,No_Match,
1852161,"November 14, 2020",Ohio,Cincinnati,400 block of Kings Run Dr,0,4,0,0,0,,"39.176359, -84.509395","https://www.google.com/maps?q=39.176358925274,-84.50939497684",39.176358925274,-84.50939497684,Match,"400 KINGS RUN DR, CINCINNATI, OH, 45232"
1850693,"November 12, 2020",North Carolina,Gastonia,1225 Union Rd,0,6,0,0,1,,"35.248013, -81.174361","https://www.google.com/maps?q=35.248012570485,-81.174361001047",35.248012570485,-81.174361001047,Match,"1225 UNION RD, GASTONIA, NC, 28054"
1850981,"November 12, 2020",Florida,Tampa,1200 block of E Palifox St,2,4,0,0,0,,"27.987388, -82.446987","https://www.google.com/maps?q=27.987387826644,-82.446987392903",27.987387826644,-82.446987392903,Match,"1200 E PALIFOX ST, TAMPA, FL, 33603"
1849308,"November 10, 2020",Florida,Tampa,N 50th St and Sligh Ave,1,7,0,0,0,,"28.010686, -82.401967","https://www.google.com/maps?q=28.010685811347,-82.401967112497",28.010685811347,-82.401967112497,Match,"N 50TH ST & E SLIGH AVE, TAMPA, FL, 33617"
1847840,"November 9, 2020",Texas,Fort Worth,5310 E Rosedale St,0,4,0,0,0,,"32.731062, -97.244507","https://www.google.com/maps?q=32.731061608509,-97.244507360301",32.731061608509,-97.244507360301,Match,"5310 E ROSEDALE ST, FORT WORTH, TX, 76105"
1846712,"November 8, 2020",Virginia,Virginia Beach,3700 block of Whitney Ct,0,4,0,0,0,,"36.797103, -76.105225","https://www.google.com/maps?q=36.797102725086,-76.1052248253",36.797102725086,-76.1052248253,Match,"3700 WHITNEY CT, VIRGINIA BEACH, VA, 23453"
1846494,"November 8, 2020",Tennessee,Nashville,2nd Ave N and Commerce St,0,8,0,0,1,,"36.163168, -86.776256","https://www.google.com/maps?q=36.163167663261,-86.7762557168",36.163167663261,-86.7762557168,Match,"2ND AVE N & COMMERCE ST, NASHVILLE, TN, 37201"
1846764,"November 7, 2020",Kansas,Ogden,225 Riley Ave,0,4,0,0,0,,"39.116758, -96.709123","https://www.google.com/maps?q=39.116757900996,-96.70912307474",39.116757900996,-96.70912307474,Match,"225 RILEY AVE, OGDEN, KS, 66517"
1845690,"November 7, 2020",South Carolina,Rock Hill,241 Albright Rd,1,3,0,0,1,,"34.912938, -81.009463","https://www.google.com/maps?q=34.912937597657,-81.009463079899",34.912937597657,-81.009463079899,Match,"241 ALBRIGHT RD, ROCK HILL, SC, 29730"
1845477,"November 6, 2020",Louisiana,New Orleans,8622 Belfast St,2,2,0,0,1,,"29.961731, -90.122616","https://www.google.com/maps?q=29.961731379191,-90.122616348624",29.961731379191,-90.122616348624,Match,"8622 BELFAST ST, NEW ORLEANS, LA, 70118"
1844573,"November 5, 2020",Ohio,Toledo,2125 Parkwood Ave,3,2,0,0,1,,"41.662578, -83.557200","https://www.google.com/maps?q=41.662577804299,-83.557199533605",41.662577804299,-83.557199533605,Match,"2125 PARKWOOD AVE, TOLEDO, OH, 43620"
1843360,"November 4, 2020",Missouri,Jefferson City,1299 Lafayette St,0,4,0,0,1,,"38.560560, -92.176585","https://www.google.com/maps?q=38.560560437902,-92.1765850174",38.560560437902,-92.1765850174,Match,"1299 LAFAYETTE ST, JEFFERSON CITY, MO, 65101"
1842362,"November 3, 2020",Nevada,Henderson,1445 Stonelake Cove Ave,3,1,1,0,0,,"36.036798, -115.048358","https://www.google.com/maps?q=36.036798327311,-115.048357629963",36.036798327311,-115.048357629963,Match,"1445 STONELAKE COVE AVE, HENDERSON, NV, 89074"
1842421,"November 2, 2020",Ohio,Mansfield,136 Sturges Ave,0,5,0,0,0,,"40.754985, -82.523506","https://www.google.com/maps?q=40.754984657276,-82.523506072762",40.754984657276,-82.523506072762,Match,"136 STURGES AVE, MANSFIELD, OH, 44903"
1840600,"November 1, 2020",Arizona,Tucson,2500 block of E Aerospace Pkwy,2,2,0,0,0,,2500 block of E Aerospace Pkwy,,,,No_Match,
