County_Name,State_FIPS,Total_Incidents,Total_Victims_Killed,Total_Victims_Injured,Total_Suspects_Killed,Total_Suspects_Injured
Chase,20.0,397,397,0,0.0,0.0
Kenai Peninsula,2.0,393,393,0,0.0,0.0
Franklin,39.0,391,375,297,2.0,2.0
Douglas,8.0,391,391,16,0.0,0.0
Morgan,18.0,385,385,0,0.0,0.0
Mille Lacs,27.0,363,363,0,0.0,0.0
Fairfax,51.0,361,359,10,0.0,0.0
Jessamine,21.0,357,357,0,0.0,0.0
West Feliciana,22.0,353,353,0,0.0,0.0
Woodford,17.0,352,352,0,0.0,0.0
Nicholas,54.0,348,348,0,0.0,0.0
Norfolk,25.0,342,342,0,0.0,0.0
Pinal,4.0,321,323,8,0.0,4.0
Oklahoma,40.0,318,309,103,2.0,8.0
Providence,44.0,313,311,8,0.0,8.0
Chatham,37.0,310,320,0,2.0,0.0
Boyle,21.0,309,309,0,0.0,0.0
Boone,29.0,302,300,26,2.0,0.0
Clay,54.0,293,293,0,0.0,0.0
Ulster,36.0,286,286,0,0.0,0.0
Matanuska-Susitna,2.0,283,289,0,0.0,0.0
Guilford,37.0,278,284,90,4.0,0.0
Morrison,27.0,278,278,0,0.0,0.0
Kent,10.0,272,268,42,0.0,0.0
Davidson,47.0,269,269,148,4.0,0.0
Lake,41.0,268,268,0,0.0,0.0
Crawford,13.0,263,263,0,0.0,0.0
Jefferson,8.0,247,249,4,0.0,0.0
Judith Basin,30.0,244,244,0,0.0,0.0
Philadelphia,42.0,242,161,1037,8.0,6.0
Naugatuck Valley,9.0,238,229,39,0.0,0.0
Dallas,1.0,236,231,35,0.0,0.0
Marion,20.0,224,224,0,0.0,0.0
Milam,48.0,223,223,0,0.0,0.0
Kennebec,23.0,218,218,0,0.0,0.0
Braxton,54.0,215,215,0,0.0,0.0
Conway,5.0,214,214,0,0.0,0.0
Seminole,40.0,207,207,0,0.0,0.0
Shelby,1.0,206,206,0,0.0,0.0
Rapides,22.0,201,199,30,0.0,0.0
Casey,21.0,201,201,0,0.0,0.0
Rankin,28.0,201,201,6,0.0,0.0
Marshall,19.0,198,198,0,0.0,0.0
Madison,21.0,196,196,0,0.0,0.0
Hunterdon,34.0,195,195,0,0.0,0.0
Story,19.0,187,187,0,0.0,0.0
Hardee,12.0,180,180,0,0.0,0.0
Perry,1.0,176,176,0,0.0,0.0
Los Angeles,6.0,174,184,729,6.0,5.0
New Castle,10.0,172,158,80,0.0,0.0
Valencia,35.0,165,171,0,0.0,0.0
Kershaw,45.0,161,161,0,0.0,0.0
Perry,5.0,158,158,0,0.0,0.0
Wilkinson,28.0,155,155,0,0.0,0.0
Tazewell,17.0,152,152,0,0.0,0.0
Harris,48.0,147,176,609,12.0,8.0
Santa Fe,35.0,141,141,0,0.0,0.0
Yavapai,4.0,137,137,0,0.0,0.0
Pierce,53.0,134,134,105,0.0,3.0
Laramie,56.0,133,135,4,0.0,0.0
Wilkinson,13.0,132,132,0,0.0,0.0
Holmes,28.0,128,132,22,0.0,0.0
Bucks,42.0,125,125,6,0.0,0.0
Saline,5.0,123,121,16,0.0,0.0
Logan,40.0,123,123,0,0.0,0.0
Jasper,19.0,121,121,0,0.0,0.0
Shelby,47.0,115,113,462,4.0,11.0
Arlington,51.0,112,112,0,0.0,0.0
Esmeralda,32.0,111,111,0,0.0,0.0
Adams,28.0,110,112,16,0.0,0.0
Cumberland,42.0,110,110,0,0.0,0.0
St. Louis,29.0,109,142,365,4.0,4.0
Northwest Hills,9.0,108,108,0,0.0,0.0
Cumberland,34.0,105,109,22,0.0,0.0
Fayette,21.0,104,99,85,3.0,0.0
Burnet,48.0,103,103,0,0.0,0.0
Salem,34.0,102,102,0,0.0,0.0
Wells,38.0,100,100,0,0.0,0.0
Bristol,25.0,100,98,12,0.0,0.0
Rockcastle,21.0,96,96,0,0.0,0.0
Cleveland,40.0,95,95,6,0.0,0.0
Woodford,21.0,93,93,0,0.0,0.0
Piatt,17.0,91,91,0,0.0,0.0
Orleans,22.0,91,77,386,3.0,6.0
Washington,44.0,91,91,0,0.0,0.0
White,5.0,88,88,0,0.0,0.0
Hardin,19.0,86,86,0,0.0,0.0
Fulton,13.0,84,46,360,4.0,6.0
Merrimack,33.0,83,83,0,0.0,0.0
El Paso,8.0,83,100,108,4.0,0.0
Charles,24.0,82,88,6,2.0,0.0
Hennepin,27.0,82,66,408,5.0,6.0
Cuyahoga,39.0,81,62,377,0.0,0.0
Wayne,26.0,79,82,308,0.0,6.0
Kings,36.0,79,41,373,8.0,0.0
Dallas,48.0,78,94,306,4.0,5.0
Alamance,37.0,77,75,8,0.0,0.0
Miami-Dade,12.0,75,54,356,10.0,0.0
Alexandria,51.0,74,74,0,0.0,0.0
Stearns,27.0,74,72,8,0.0,0.0
Calhoun,54.0,72,74,4,0.0,0.0
Newport,44.0,72,72,0,0.0,0.0
Hyde,46.0,70,70,0,0.0,0.0
Stanly,37.0,70,70,0,0.0,0.0
Milwaukee,55.0,69,48,307,4.0,12.0
Roane,54.0,69,69,0,0.0,0.0
Highlands,12.0,69,77,0,0.0,0.0
Jackson,29.0,65,61,312,4.0,8.0
Dickinson,20.0,60,60,0,0.0,0.0
Lincoln,23.0,58,58,0,0.0,0.0
Kent,44.0,55,55,0,0.0,0.0
Bronx,36.0,55,31,213,0.0,0.0
Washington,50.0,53,53,0,0.0,0.0
Denver,8.0,52,56,210,2.0,8.0
Prince William,51.0,52,54,38,2.0,0.0
Bexar,48.0,52,44,197,6.0,0.0
Alameda,6.0,51,40,208,0.0,4.0
Northumberland,42.0,49,49,0,0.0,0.0
Coosa,1.0,46,46,0,0.0,0.0
Juab,49.0,45,45,0,0.0,0.0
Hinds,28.0,45,41,181,4.0,6.0
Belknap,33.0,44,44,0,0.0,0.0
Marquette,55.0,43,43,0,0.0,0.0
Weld,8.0,42,42,0,0.0,0.0
Macon,17.0,42,38,24,0.0,0.0
Jefferson,1.0,42,56,188,2.0,0.0
Clark,32.0,41,55,158,13.0,4.0
Caddo,22.0,41,24,176,0.0,0.0
Essex,34.0,41,23,160,0.0,0.0
Amelia,51.0,40,40,0,0.0,0.0
Polk,19.0,40,36,20,0.0,0.0
Honolulu,15.0,39,45,19,2.0,3.0
Jefferson,21.0,38,34,168,2.0,0.0
Carroll,24.0,37,37,0,0.0,0.0
Allegheny,42.0,37,30,149,2.0,6.0
Orange,50.0,37,37,0,0.0,0.0
Aiken,45.0,37,41,22,2.0,0.0
Mecklenburg,37.0,37,43,143,2.0,0.0
Montgomery,1.0,36,30,150,0.0,0.0
East Baton Rouge,22.0,35,19,188,0.0,0.0
Lonoke,5.0,35,35,0,0.0,0.0
Broward,12.0,34,38,127,5.0,0.0
Tarrant,48.0,34,38,140,2.0,2.0
Sacramento,6.0,32,38,130,8.0,4.0
Buffalo,46.0,32,32,0,0.0,0.0
Hamilton,39.0,32,20,138,0.0,4.0
Passaic,34.0,32,16,138,0.0,0.0
Richmond,36.0,32,30,10,0.0,0.0
Charleston,45.0,31,13,171,3.0,2.0
Hand,46.0,31,31,0,0.0,0.0
Tulsa,40.0,31,45,117,7.0,3.0
Orange,12.0,30,46,104,2.0,2.0
Northeastern Connecticut,9.0,30,30,0,0.0,0.0
Richmond,51.0,29,27,109,0.0,0.0
Hillsborough,12.0,29,21,117,0.0,2.0
Cascade,30.0,28,32,2,2.0,0.0
Anderson,21.0,28,28,0,0.0,0.0
Monroe,36.0,28,20,126,0.0,2.0
Multnomah,41.0,27,12,110,0.0,2.0
Addison,50.0,27,27,0,0.0,0.0
Grundy,19.0,27,27,0,0.0,0.0
Lucas,39.0,25,24,106,0.0,0.0
El Paso,48.0,24,66,136,0.0,4.0
Suffolk,25.0,24,8,108,0.0,2.0
