County_Name,State_FIPS,Total_Incidents,Total_Victims_Killed,Total_Victims_Injured,Total_Suspects_Killed,Total_Suspects_Injured
St. Mary,22.0,2,0,10,0.0,0.0
Tallahatchie,28.0,2,0,8,2.0,0.0
Saline,31.0,2,0,14,2.0,0.0
Taos,35.0,2,6,8,0.0,2.0
Sumter,12.0,2,2,20,0.0,0.0
Tallapoosa,1.0,2,8,64,0.0,4.0
Tehama,6.0,2,4,8,2.0,0.0
San Benito,6.0,2,4,6,0.0,0.0
Sutter,6.0,2,4,6,0.0,0.0
Sarasota,12.0,2,2,8,0.0,2.0
Tunica,28.0,2,0,8,0.0,0.0
Tift,13.0,2,0,8,0.0,0.0
Webb,48.0,2,0,8,0.0,0.0
Sarpy,31.0,2,4,4,0.0,0.0
Washington,37.0,2,2,6,0.0,0.0
Washington,5.0,2,2,8,0.0,0.0
Sangamon,17.0,2,2,8,0.0,0.0
Washtenaw,26.0,2,4,4,0.0,0.0
Watauga,37.0,2,8,0,2.0,0.0
Waukesha,55.0,2,8,0,4.0,0.0
Stone,5.0,2,8,0,0.0,0.0
Walker,48.0,2,4,4,0.0,0.0
Waldo,23.0,2,2,0,0.0,0.0
Seminole,12.0,2,0,20,0.0,0.0
Wayne,39.0,2,2,6,0.0,2.0
Victoria,48.0,2,6,2,0.0,0.0
Vermilion,22.0,2,0,8,0.0,0.0
Webster,19.0,2,4,4,0.0,0.0
Tom Green,48.0,2,0,8,0.0,0.0
Vance,37.0,2,0,10,0.0,0.0
Uvalde,48.0,2,42,34,2.0,0.0
San Luis Obispo,6.0,2,2,8,2.0,0.0
Union,47.0,2,8,0,2.0,0.0
Union,45.0,2,4,10,0.0,0.0
San Juan,35.0,2,6,12,2.0,0.0
Western Connecticut,9.0,2,2,6,0.0,0.0
Shoshone,16.0,2,8,0,0.0,0.0
Westmoreland,42.0,2,2,8,0.0,0.0
Whitfield,13.0,2,8,0,0.0,0.0
Smith,48.0,2,0,10,0.0,0.0
Wichita,48.0,2,0,8,0.0,0.0
Wicomico,24.0,2,2,12,0.0,0.0
Tooele,49.0,2,8,2,0.0,0.0
Sebastian,5.0,2,0,12,0.0,2.0
Ada,16.0,2,4,6,2.0,0.0
Rowan,37.0,2,2,8,0.0,0.0
Edgecombe,37.0,2,4,4,0.0,0.0
Duplin,37.0,2,4,4,0.0,0.0
Dunklin,29.0,2,2,8,0.0,0.0
Dubuque,19.0,2,2,6,0.0,0.0
Douglas,13.0,2,4,14,0.0,0.0
Dorchester,45.0,2,0,8,0.0,0.0
Dorchester,24.0,2,0,8,0.0,0.0
Dinwiddie,51.0,2,0,10,0.0,0.0
Desha,5.0,2,2,52,0.0,0.0
Daviess,21.0,2,6,2,0.0,0.0
Dallas,19.0,2,4,10,2.0,0.0
Dallas,5.0,2,8,18,0.0,2.0
Custer,8.0,2,6,2,0.0,0.0
Cross,5.0,2,2,18,0.0,0.0
Crittenden,5.0,2,0,10,0.0,0.0
Crisp,13.0,2,0,8,0.0,0.0
Columbia,12.0,2,0,10,0.0,0.0
Columbia,5.0,2,0,8,0.0,0.0
Dyer,47.0,2,0,10,0.0,0.0
Emanuel,13.0,2,2,6,0.0,0.0
Rio Arriba,35.0,2,2,6,0.0,0.0
Erie,39.0,2,2,6,0.0,0.0
Hardin,21.0,2,4,4,0.0,0.0
Hancock,28.0,2,4,8,0.0,0.0
Hancock,13.0,2,2,12,0.0,0.0
Hampton,51.0,2,0,8,0.0,0.0
Greenwood,45.0,2,6,2,0.0,0.0
Greene,39.0,2,0,8,2.0,0.0
Greene,37.0,2,0,8,0.0,0.0
Grayson,48.0,2,2,6,0.0,0.0
Granville,37.0,2,0,12,0.0,0.0
Garland,5.0,2,2,6,0.0,2.0
Frederick,24.0,2,0,8,0.0,0.0
Ford,20.0,2,4,4,0.0,0.0
Fond du Lac,55.0,2,2,6,0.0,0.0
Floyd,21.0,2,6,10,0.0,0.0
Evans,13.0,2,4,4,0.0,0.0
Escambia,1.0,2,2,16,0.0,0.0
Erie,42.0,2,4,6,0.0,0.0
Colleton,45.0,2,0,8,0.0,0.0
Coffee,1.0,2,2,6,0.0,0.0
Cobb,13.0,2,0,8,0.0,0.0
Clarke,1.0,2,0,8,0.0,0.0
Brunswick,51.0,2,0,10,0.0,0.0
Bradford,12.0,2,6,2,0.0,0.0
Boulder,8.0,2,20,0,0.0,2.0
Boone,21.0,2,8,6,2.0,0.0
Bon Homme,46.0,2,6,4,0.0,0.0
Black Hawk,19.0,2,4,12,0.0,0.0
Berkeley,45.0,2,0,8,0.0,0.0
Ben Hill,13.0,2,2,6,0.0,0.0
Beaver,42.0,2,4,6,0.0,0.0
Bay,12.0,2,2,6,0.0,0.0
Assumption,22.0,2,0,14,0.0,0.0
Ascension,22.0,2,0,10,0.0,0.0
Anson,37.0,2,2,12,0.0,0.0
Anoka,27.0,2,2,14,0.0,0.0
Anderson,48.0,2,0,8,0.0,0.0
Amherst,51.0,2,2,8,0.0,0.0
Allegany,24.0,2,2,6,0.0,0.0
Bullock,1.0,2,4,6,0.0,0.0
Burke,13.0,2,2,8,0.0,0.0
Butler,42.0,2,2,6,2.0,0.0
Chaves,35.0,2,0,8,0.0,0.0
Clare,26.0,2,8,0,0.0,0.0
Claiborne,28.0,2,4,4,0.0,0.0
Clackamas,41.0,2,0,8,0.0,0.0
Christian,21.0,2,0,8,0.0,0.0
Chippewa,55.0,2,8,4,2.0,0.0
Chester,45.0,2,4,6,0.0,0.0
Cherokee,13.0,2,16,2,0.0,0.0
Cedar,31.0,2,8,0,0.0,0.0
Calhoun,1.0,2,0,12,0.0,0.0
Caswell,37.0,2,4,4,2.0,0.0
Cass,38.0,2,2,6,2.0,0.0
Cass,17.0,2,6,2,2.0,0.0
Canyon,16.0,2,2,6,2.0,0.0
Canadian,40.0,2,8,0,2.0,0.0
Cameron,48.0,2,0,10,0.0,0.0
Camden,34.0,2,2,6,0.0,0.0
Harrisonburg,51.0,2,0,16,0.0,0.0
Hart,13.0,2,4,4,0.0,0.0
Henderson,21.0,2,4,4,0.0,0.0
Hendry,12.0,2,2,6,0.0,0.0
Montgomery,28.0,2,2,6,0.0,0.0
Monroe,42.0,2,0,8,0.0,0.0
Mississippi,29.0,2,4,28,0.0,0.0
Mississippi,5.0,2,6,2,0.0,0.0
Mesa,8.0,2,2,6,0.0,0.0
Mercer,54.0,2,0,10,0.0,0.0
Mecosta,26.0,2,8,0,0.0,2.0
McHenry,17.0,2,6,2,2.0,0.0
McDuffie,13.0,2,0,8,0.0,0.0
McDonough,17.0,2,2,20,0.0,0.0
McCormick,45.0,2,0,8,0.0,0.0
Marshall,1.0,2,6,2,2.0,0.0
Marion,47.0,2,10,2,2.0,0.0
Marion,45.0,2,0,8,0.0,0.0
Marion,28.0,2,2,6,0.0,0.0
Marion,12.0,2,0,8,0.0,0.0
Marin,6.0,2,4,8,0.0,0.0
Montgomery,42.0,2,2,8,0.0,0.0
Montgomery,51.0,2,2,8,0.0,0.0
Morehouse,22.0,2,4,4,0.0,0.0
Person,37.0,2,2,6,0.0,0.0
Riley,20.0,2,0,8,0.0,0.0
Rensselaer,36.0,2,0,8,0.0,0.0
Randall,48.0,2,4,10,0.0,0.0
Pueblo,8.0,2,2,6,0.0,0.0
Pope,5.0,2,8,0,2.0,0.0
Polk,13.0,2,0,8,0.0,0.0
Phillips,5.0,2,2,6,0.0,0.0
Peach,13.0,2,2,14,0.0,0.0
Muskogee,40.0,2,12,2,0.0,0.0
Ouachita,5.0,2,0,8,0.0,0.0
North Slope,2.0,2,4,4,0.0,0.0
Newport News,51.0,2,0,8,0.0,0.0
Newberry,45.0,2,0,8,0.0,0.0
New Madrid,29.0,2,4,14,0.0,0.0
Natchitoches,22.0,2,2,6,0.0,0.0
Nash,37.0,2,0,8,0.0,0.0
Madison,39.0,2,8,0,0.0,0.0
Madison,17.0,2,0,24,0.0,0.0
Lynchburg,51.0,2,0,10,0.0,0.0
Indiana,42.0,2,2,16,0.0,0.0
Johnson,48.0,2,0,12,0.0,0.0
Jefferson,39.0,2,0,8,0.0,0.0
Jasper,48.0,2,0,22,0.0,0.0
Jasper,45.0,2,4,4,0.0,0.0
Jackson,28.0,2,2,12,0.0,0.0
Jackson,5.0,2,2,8,0.0,0.0
Iron,49.0,2,14,0,2.0,0.0
Hutchinson,48.0,2,2,6,0.0,0.0
Luzerne,42.0,2,2,8,0.0,0.0
Hunt,48.0,2,4,12,0.0,0.0
Houston,1.0,2,0,10,0.0,0.0
Hopkins,21.0,2,0,10,0.0,0.0
Hopewell,51.0,2,4,4,0.0,0.0
Hockley,48.0,2,2,8,0.0,2.0
Hillsborough,33.0,2,0,8,0.0,0.0
Hidalgo,48.0,2,0,8,0.0,0.0
Kendall,17.0,2,0,8,0.0,0.0
Klamath,41.0,2,4,4,0.0,0.0
Knox,17.0,2,0,8,0.0,0.0
La Crosse,55.0,2,0,14,0.0,0.0
Lorain,39.0,2,8,0,2.0,0.0
Lincoln,46.0,2,6,4,0.0,0.0
Limestone,1.0,2,10,0,0.0,0.0
Lewis,21.0,2,2,8,0.0,0.0
Lee,5.0,2,2,8,0.0,0.0
Lebanon,42.0,2,0,8,0.0,0.0
Lea,35.0,2,6,8,0.0,0.0
Lawrence,42.0,2,2,8,0.0,0.0
Laurel,21.0,2,0,10,2.0,0.0
Lauderdale,47.0,2,2,6,0.0,0.0
Lane,41.0,2,0,12,0.0,0.0
Lancaster,45.0,2,4,16,0.0,0.0
Lamar,48.0,2,0,8,0.0,0.0
LaPorte,18.0,2,0,8,0.0,0.0
La Plata,8.0,2,2,6,0.0,0.0
Lawrence,39.0,2,0,8,0.0,0.0
Falls Church,51.0,1,1,0,0.0,0.0
Schoharie,36.0,1,1,0,0.0,0.0
Loudoun,51.0,1,1,0,0.0,0.0
