Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Latitude,Longitude,Geocoding Match,Matched Address
3278590,"August 4, 2025",California,Los Angeles,E 14th Pl and Paloma St,2,6,0,0,0,,34.028608146954,-118.249750313712,Match,"E 14TH PL & PALOMA ST, LOS ANGELES, CA, 90021"
3278919,"August 3, 2025",Virginia,Virginia Beach,4900 block of Gulfstream Cir,0,4,0,0,0,,36.81655301411,-76.153590951147,Match,"4900 GULFSTREAM CIR, VIRGINIA BEACH, VA, 23464"
3278049,"August 3, 2025",Iowa,Iowa City,600 block of E Court St,0,4,0,0,2,,41.65664790494,-91.527206404856,Match,"600 E COURT ST, IOWA CITY, IA, 52240"
3278491,"August 2, 2025",Nebraska,Omaha,3501 N 30th St,0,6,0,1,1,,41.290573616774,-95.956479654132,Match,"3501 N 30TH ST, OMAHA, NE, 68111"
3277877,"August 2, 2025",Illinois,Harvey,14400 block of Des Plaines St,0,5,1,1,0,,41.627328415164,-87.639077777528,Match,"14400 DES PLAINES ST, HARVEY, IL, 60426"
3276908,"August 1, 2025",Montana,Anaconda,819 E 3rd St,4,0,0,0,1,,46.126508397094,-112.943095147152,Match,"819 E 3RD ST, ANACONDA, MT, 59711"
3276476,"July 30, 2025",Georgia,Atlanta,2479 Abner Terrace NW,0,4,0,0,0,,33.800970368396,-84.466914956396,Match,"2479 ABNER TER, ATLANTA, GA, 30318"
3275972,"July 30, 2025",Pennsylvania,Philadelphia,728 S 55th St,0,6,0,0,1,,39.949115515002,-75.233303554368,Match,"728 S 55TH ST, PHILADELPHIA, PA, 19143"
3276738,"July 29, 2025",Tennessee,Tiptonville,Carrington Rd,4,0,0,0,1,,,,No_Match,
3273804,"July 28, 2025",Michigan,Detroit,3344 Puritan Ave,2,2,0,0,1,,42.410065111211,-83.134693153753,Match,"3344 PURITAN ST, DETROIT, MI, 48238"
3273521,"July 28, 2025",Nevada,Reno,2500 E 2nd St,3,3,1,0,0,,39.527541410746,-119.778572731829,Match,"2500 E 2ND ST, RENO, NV, 89502"
3273423,"July 28, 2025",Georgia,Atlanta,349 Edgewood Ave,1,10,0,0,1,,,,Tie,
3273958,"July 28, 2025",New York,New York (Manhattan),345 Park Ave,4,2,1,0,0,,,,Tie,
3273415,"July 27, 2025",Illinois,Chicago,W Flournoy St and S Springfield Ave,0,4,0,0,1,,41.872573152516,-87.722949223311,Match,"W FLOURNOY ST & S SPRINGFIELD AVE, CHICAGO, IL, 60624"
