Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address
1972187,"April 8, 2021",Texas,Bryan,350 Stone City Dr,1,5,0,0,1,,"30.651493, -96.403418","https://www.google.com/maps?q=30.651493028881,-96.403417651242",30.651493028881,-96.403417651242,Match,"350 STONE CITY DR, BRYAN, TX, 77803"
1970937,"April 7, 2021",Wisconsin,Milwaukee,2627 W Capitol Dr,2,2,0,1,1,,"43.089721, -87.945951","https://www.google.com/maps?q=43.089720664793,-87.945950713223",43.089720664793,-87.945950713223,Match,"2627 W CAPITOL DR, MILWAUKEE, WI, 53206"
1973435,"April 7, 2021",Ohio,Dayton,Hoover Ave and Summit Square,0,4,0,0,0,,Hoover Ave and Summit Square,,,,Tie,
1971410,"April 7, 2021",South Carolina,Rock Hill,4456 Marshall Rd,6,0,1,0,0,,"34.849922, -81.057183","https://www.google.com/maps?q=34.849921773329,-81.057182569457",34.849921773329,-81.057182569457,Match,"4456 MARSHALL RD, ROCK HILL, SC, 29730"
1969899,"April 6, 2021",District of Columbia,Washington,4100 block of Ames St NE,0,4,0,0,0,,"38.890940, -76.944484","https://www.google.com/maps?q=38.890939508188,-76.944483621903",38.890939508188,-76.944483621903,Match,"4100 AMES ST NE, WASHINGTON, DC, 20019"
1970245,"April 6, 2021",Michigan,Detroit,6100 block of Lodewyck St,1,3,0,0,0,,"42.417797, -82.925775","https://www.google.com/maps?q=42.417797410711,-82.925775355211",42.417797410711,-82.925775355211,Match,"6100 LODEWYCK ST, DETROIT, MI, 48224"
1970378,"April 5, 2021",Illinois,Chicago,6800 block of S Justine Ave,0,7,0,0,0,,6800 block of S Justine Ave,,,,No_Match,
1969065,"April 5, 2021",Maryland,Baltimore,300 block of N Eutaw St,0,5,0,0,0,,"39.292967, -76.621247","https://www.google.com/maps?q=39.292966738048,-76.621246648666",39.292966738048,-76.621246648666,Match,"300 N EUTAW ST, BALTIMORE, MD, 21201"
1969505,"April 4, 2021",Louisiana,Monroe,207 Sterlington Rd,0,6,0,0,0,,"32.522879, -92.082136","https://www.google.com/maps?q=32.522879489961,-92.082135944397",32.522879489961,-92.082135944397,Match,"207 STERLINGTON RD, MONROE, LA, 71203"
1968887,"April 4, 2021",Alabama,Birmingham,3969 14th Ave N,1,5,0,0,1,,"33.546718, -86.780622","https://www.google.com/maps?q=33.546717765408,-86.780621758171",33.546717765408,-86.780621758171,Match,"3969 N 14TH AVE N, BIRMINGHAM, AL, 35234"
1969633,"April 4, 2021",Texas,Beaumont,6035 S M L King Jr Pkwy,0,4,0,0,1,,"30.031273, -94.060327","https://www.google.com/maps?q=30.031273179942,-94.060326855777",30.031273179942,-94.060326855777,Match,"6035 S M L KING JR PKWY, BEAUMONT, TX, 77705"
