Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address
2790854,"December 31, 2023",California,Hawthorne,14125 Crenshaw Blvd,1,5,0,0,0,,"33.902866, -118.326569","https://www.google.com/maps?q=33.902865739859,-118.326568797603",33.902865739859,-118.326568797603,Match,"14125 CRENSHAW BLVD, HAWTHORNE, CA, 90250"
2791341,"December 31, 2023",North Carolina,Charlotte,300 S Church St,0,5,0,0,1,,"35.226583, -80.846502","https://www.google.com/maps?q=35.22658338491,-80.846501740201",35.22658338491,-80.846501740201,Match,"300 S CHURCH ST, CHARLOTTE, NC, 28202"
2791696,"December 31, 2023",South Carolina,Little River,3389 Hwy 9 E,2,2,0,0,0,,"33.873226, -78.676050","https://www.google.com/maps?q=33.873225638222,-78.676049785908",33.873225638222,-78.676049785908,Match,"3389 E STATE HWY 9, LITTLE RIVER, SC, 29566"
2793000,"December 31, 2023",Louisiana,Pointe Coupee (county),,1,3,0,0,1,,,,,,No_Match,
2790633,"December 30, 2023",Texas,Beaumont,6500 block of Bigner Rd,1,4,0,0,0,,"30.140652, -94.134512","https://www.google.com/maps?q=30.140652236568,-94.134512150549",30.140652236568,-94.134512150549,Match,"6500 BIGNER RD, BEAUMONT, TX, 77708"
2790081,"December 30, 2023",Colorado,Denver,4888 W Colfax Ave,2,2,0,0,1,,"39.740291, -105.049636","https://www.google.com/maps?q=39.740291289329,-105.049635970403",39.740291289329,-105.049635970403,Match,"4888 W COLFAX AVE, DENVER, CO, 80204"
2790559,"December 30, 2023",Florida,Gainesville,1631 NE 16th Ave,0,4,0,0,0,,"29.666449, -82.305433","https://www.google.com/maps?q=29.666449103921,-82.305432702275",29.666449103921,-82.305432702275,Match,"1631 NE 16TH AVE, GAINESVILLE, FL, 32601"
2786002,"December 24, 2023",Florida,Orlando (Lockhart),2800 block of Sudman Way,2,3,0,0,1,,2800 block of Sudman Way,,,,No_Match,
2786444,"December 24, 2023",Colorado,Colorado Springs,750 Citadel Dr E,1,3,0,0,1,,"38.844804, -104.758875","https://www.google.com/maps?q=38.844803701136,-104.758874660541",38.844803701136,-104.758874660541,Match,"750 CITADEL DR E, COLORADO SPRINGS, CO, 80909"
2786038,"December 24, 2023",Texas,Houston,5828 Martin Luther King Blvd,1,4,0,0,0,,"29.696989, -95.337189","https://www.google.com/maps?q=29.69698850445,-95.337189208314",29.69698850445,-95.337189208314,Match,"5828 MARTIN LUTHER KING JR BLVD, HOUSTON, TX, 77021"
2786401,"December 23, 2023",Washington,Seattle,Occidental Ave S and S Washington St,0,5,0,0,0,,"47.600877, -122.332877","https://www.google.com/maps?q=47.600877383777,-122.332876607567",47.600877383777,-122.332876607567,Match,"OCCIDENTAL AVE S & S WASHINGTON ST, SEATTLE, WA, 98104"
