Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Coordinate_Display,Google_Maps_Link,Latitude,Longitude,Geocoding Match,Matched Address,County_Name,County_FIPS,State_FIPS,County_State
3106715,"December 31, 2024",California,Oakland,200 block of Second St,1,3,0,0,0,,"37.793798, -122.270466","https://www.google.com/maps?q=37.793798436397,-122.270465989043",37.793798436397,-122.270465989043,Match,"200 2ND ST, OAKLAND, CA, 94607",Alameda,001,06,"Alameda, 06"
3107076,"December 31, 2024",Mississippi,Natchez,Finger Ln and Lower Woodville Rd,1,5,0,0,1,,"31.505259, -91.410618","https://www.google.com/maps?q=31.505259301764,-91.4106179536",31.505259301764,-91.4106179536,Match,"FINGER LN & LOWER WOODVILLE RD, NATCHEZ, MS, 39120",Adams,001,28,"Adams, 28"
3105091,"December 30, 2024",New York,Bronx,3544 White Plains Rd,0,6,0,0,0,,"40.878176, -73.865699","https://www.google.com/maps?q=40.878176281809,-73.86569860393",40.878176281809,-73.86569860393,Match,"3544 WHITE PLAINS RD, BRONX, NY, 10467",Bronx,005,36,"Bronx, 36"
3105154,"December 30, 2024",New York,Rochester,100 block of Hollenbeck St,0,4,0,0,0,,"43.180015, -77.616351","https://www.google.com/maps?q=43.180014844731,-77.616350789166",43.180014844731,-77.616350789166,Match,"100 HOLLENBECK ST, ROCHESTER, NY, 14621",Monroe,055,36,"Monroe, 36"
3103855,"December 28, 2024",West Virginia,Grantsville,5957 Pine Creek Rd,2,2,0,0,1,,"38.874625, -81.130999","https://www.google.com/maps?q=38.874624606581,-81.130998855004",38.874624606581,-81.130998855004,Match,"5957 PINE CREEK RD, GRANTSVILLE, WV, 26147",Calhoun,013,54,"Calhoun, 54"
3104385,"December 28, 2024",California,Signal Hill,1005 E Burnett St,1,6,0,0,0,,"33.800812, -118.180022","https://www.google.com/maps?q=33.800812464032,-118.180021579577",33.800812464032,-118.180021579577,Match,"1005 E BURNETT ST, SIGNAL HILL, CA, 90755",Los Angeles,037,06,"Los Angeles, 06"
3103407,"December 28, 2024",Louisiana,Vacherie,5877 LA-18,0,7,0,0,0,,"30.039738, -90.674110","https://www.google.com/maps?q=30.039737919779,-90.674110385851",30.039737919779,-90.674110385851,Match,"5877 HWY 18, VACHERIE, LA, 70090",St. John the Baptist,095,22,"St. John the Baptist, 22"
3102259,"December 26, 2024",Georgia,Macon,1085 Triple Hill Dr,1,6,0,0,0,,"32.793197, -83.657671","https://www.google.com/maps?q=32.793196770314,-83.657670988867",32.793196770314,-83.657670988867,Match,"1085 TRIPLE HILL DR, MACON, GA, 31206",Bibb,021,13,"Bibb, 13"
3101897,"December 25, 2024",Indiana,Indianapolis,6402 Meadowlark Dr,1,5,0,0,1,,"39.835440, -86.057538","https://www.google.com/maps?q=39.835439516981,-86.057537771218",39.835439516981,-86.057537771218,Match,"6402 MEADOWLARK DR, INDIANAPOLIS, IN, 46226",Marion,097,18,"Marion, 18"
3102234,"December 25, 2024",Florida,Homestead (Naranja),26510 SW 138th Ct,0,4,0,0,1,,"25.520716, -80.415700","https://www.google.com/maps?q=25.520715623816,-80.415699878144",25.520715623816,-80.415699878144,Match,"26510 SW 138TH CT, HOMESTEAD, FL, 33032",Miami-Dade,086,12,"Miami-Dade, 12"
3100115,"December 22, 2024",Georgia,Savannah,2505 Bull St,0,5,0,0,0,,"32.053644, -81.101714","https://www.google.com/maps?q=32.053644459816,-81.101713543502",32.053644459816,-81.101713543502,Match,"2505 BULL ST, SAVANNAH, GA, 31401",Chatham,051,13,"Chatham, 13"
3099823,"December 21, 2024",Kentucky,Louisville,2200 block of Garland Ave,2,3,0,0,1,,"38.244038, -85.789182","https://www.google.com/maps?q=38.244037867617,-85.789182436288",38.244037867617,-85.789182436288,Match,"2200 GARLAND AVE, LOUISVILLE, KY, 40211",Jefferson,111,21,"Jefferson, 21"
3096143,"December 17, 2024",Maryland,Towson,8521 Loch Raven Blvd,1,8,0,0,0,,"39.394376, -76.563200","https://www.google.com/maps?q=39.394376097723,-76.563200190919",39.394376097723,-76.563200190919,Match,"8521 LOCH RAVEN BLVD, TOWSON, MD, 21286",Baltimore,005,24,"Baltimore, 24"
3094796,"December 16, 2024",Wisconsin,Madison,4901 E Buckeye Rd,2,6,1,0,0,,"43.073277, -89.298552","https://www.google.com/maps?q=43.073276863301,-89.298552339949",43.073276863301,-89.298552339949,Match,"4901 E BUCKEYE RD, MADISON, WI, 53716",Dane,025,55,"Dane, 55"
3094534,"December 15, 2024",Louisiana,New Orleans,6100 Franklin Ave,2,2,0,0,0,,"30.021499, -90.051929","https://www.google.com/maps?q=30.021499116253,-90.051929096416",30.021499116253,-90.051929096416,Match,"6100 FRANKLIN AVE, NEW ORLEANS, LA, 70122",Orleans,071,22,"Orleans, 22"
3094383,"December 15, 2024",Pennsylvania,Philadelphia,400 block of E Wyoming Ave,1,4,0,0,1,,"40.020731, -75.118237","https://www.google.com/maps?q=40.020731116266,-75.118236721305",40.020731116266,-75.118236721305,Match,"400 E WYOMING AVE, PHILADELPHIA, PA, 19120",Philadelphia,101,42,"Philadelphia, 42"
3094496,"December 14, 2024",Texas,Houston,10126 Jensen Dr,2,4,0,0,0,,"29.858086, -95.337066","https://www.google.com/maps?q=29.858086029371,-95.337065851815",29.858086029371,-95.337065851815,Match,"10126 JENSEN DR, HOUSTON, TX, 77093",Harris,201,48,"Harris, 48"
3096566,"December 14, 2024",Utah,Salt Lake City (West Valley City),3761 S Oxford Way,4,1,1,0,0,,"40.689982, -111.973042","https://www.google.com/maps?q=40.689982409255,-111.973042092158",40.689982409255,-111.973042092158,Match,"3761 S OXFORD WAY, WEST VALLEY CITY, UT, 84119",Salt Lake,035,49,"Salt Lake, 49"
3094239,"December 14, 2024",New Mexico,Belen,5 Cam Escondido,4,0,0,0,1,,"34.571738, -106.681880","https://www.google.com/maps?q=34.571737903939,-106.681880481213",34.571737903939,-106.681880481213,Match,"5 CAM ESCONDIDO, BELEN, NM, 87002",Valencia,061,35,"Valencia, 35"
3094604,"December 14, 2024",Louisiana,Shreveport,199 Pierremont Rd,1,3,0,0,0,,"32.455882, -93.729583","https://www.google.com/maps?q=32.455882100646,-93.729583233963",32.455882100646,-93.729583233963,Match,"199 PIERREMONT RD, SHREVEPORT, LA, 71105",Caddo,017,22,"Caddo, 22"
3096263,"December 13, 2024",Georgia,Valdosta,1785 W Hill Ave,0,4,0,0,1,,"30.821215, -83.310247","https://www.google.com/maps?q=30.821214708924,-83.310247215646",30.821214708924,-83.310247215646,Match,"1785 W HILL AVE, VALDOSTA, GA, 31601",Lowndes,185,13,"Lowndes, 13"
3091264,"December 10, 2024",Florida,Lake Worth (Lake Worth Beach),614 Lake Ave,3,1,0,0,1,,"26.615892, -80.054565","https://www.google.com/maps?q=26.615892483155,-80.054564762886",26.615892483155,-80.054564762886,Match,"614 LAKE AVE, LAKE WORTH BEACH, FL, 33460",Palm Beach,099,12,"Palm Beach, 12"
3089791,"December 8, 2024",Illinois,Cicero,W Roosevelt Rd and S Cicero Ave,1,3,0,0,0,,"41.865895, -87.744756","https://www.google.com/maps?q=41.865895154875,-87.744756217559",41.865895154875,-87.744756217559,Match,"W ROOSEVELT RD & CICERO AVE, CICERO, IL, 60804",Cook,031,17,"Cook, 17"
3089589,"December 7, 2024",Georgia,Atlanta,200 Vineyard Walk,4,0,1,0,0,,200 Vineyard Walk,,,,No_Match,,,,,
3089440,"December 7, 2024",Washington,Seattle,814 S Ln St,0,5,0,0,0,,"47.596723, -122.322288","https://www.google.com/maps?q=47.596722678533,-122.322287849599",47.596722678533,-122.322287849599,Match,"814 S LANE ST, SEATTLE, WA, 98104",King,033,53,"King, 53"
